"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"KobeBryant",0.84981684981685,0.868489583333333,0.839622641509434,0.856382978723404,0.811460258780037,0.828473413379074,0.844789356984479,0.838658146964856,0.857142857142857,0.813278008298755
"JoeJohnson",0.790909090909091,0.748407643312102,0.83377308707124,0.825966850828729,0.817843866171004,0.802469135802469,0.849462365591398,0.819875776397516,0.815384615384615,0.801136363636364
"LeBronJames",0.738329238329238,0.697574893009986,0.712062256809339,0.779527559055118,0.767141009055627,0.75867269984917,0.770916334661355,0.753271028037383,0.75042735042735,0.710227272727273
"CarmeloAnthony",0.808180535966149,0.808098591549296,0.786440677966102,0.792735042735043,0.830065359477124,0.83801652892562,0.803814713896458,0.830078125,0.848428835489834,0.79746835443038
"DwightHoward",0.595317725752508,0.585585585585586,0.58974358974359,0.593639575971731,0.591911764705882,0.596069868995633,0.491258741258741,0.492371705963939,0.547021943573668,0.527675276752767
"ChrisBosh",0.815834767641997,0.784745762711864,0.844364937388193,0.816855753646678,0.796610169491525,0.815286624203822,0.82078853046595,0.798013245033113,0.819852941176471,0.771551724137931
"ChrisPaul",0.847311827956989,0.817927170868347,0.851282051282051,0.868320610687023,0.847368421052632,0.877604166666667,0.860927152317881,0.885448916408669,0.855072463768116,0.900311526479751
"KevinDurant",0.81640625,0.81640625,0.872767857142857,0.862595419847328,0.9,0.88,0.860279441117764,0.905333333333333,0.873291925465839,0.853801169590643
"DerrickRose",0.712195121951219,0.712195121951219,0.712195121951219,0.788,0.766272189349112,0.857657657657658,0.811715481171548,NA,0.84375,0.812834224598931
"DwayneWade",0.783312577833126,0.807476635514019,0.758029978586724,0.765239948119325,0.760683760683761,0.757668711656442,0.791245791245791,0.724705882352941,0.732558139534884,0.767567567567568
